x	y1	y2	y3	y4	y5	y6
0.17395	0.81263	0.80573	0.40305	0.38577	0.06369	0.05538
0.17527	0.81215	0.80558	0.40315	0.3872	0.06419	0.05799
0.17568	0.81202	0.80556	0.4032	0.38767	0.06434	0.05887
0.17652	0.8118	0.80557	0.40334	0.38863	0.06465	0.06069
0.17921	0.81141	0.80604	0.40405	0.39187	0.06568	0.06669
0.18329	0.81149	0.80767	0.40584	0.3972	0.06749	0.07493
0.1833	0.81149	0.80767	0.40584	0.39721	0.06749	0.07494
0.19034	0.81242	0.81159	0.41079	0.40781	0.07238	0.08784
0.19093	0.81252	0.81203	0.41132	0.40882	0.07297	0.08897
0.1914	0.81261	0.81242	0.41175	0.40966	0.07347	0.08992
0.19394	0.81311	0.81533	0.41438	0.4158	0.07686	0.09636
0.19449	0.81323	0.81619	0.41502	0.42243	0.0778	0.09795
0.19509	0.81337	0.81722	0.41576	0.42486	0.07894	0.09967
0.19538	0.81344	0.81771	0.41612	0.42577	0.07952	0.10047
0.19558	0.81349	0.81806	0.41639	0.42638	0.07996	0.10103
0.1968	0.81379	0.81998	0.41806	0.42943	0.08286	0.10426
0.19928	0.8145	0.82352	0.4218	0.43413	0.09033	0.11027
0.2048	0.81665	0.82949	0.42764	0.44066	0.10578	0.12039
0.20542	0.81693	0.82986	0.42787	0.44114	0.10685	0.12121
0.20579	0.8171	0.83006	0.42796	0.4414	0.10742	0.12166
0.20629	0.81734	0.83029	0.42804	0.44174	0.10816	0.12224
0.20723	0.8178	0.83067	0.42807	0.4423	0.10938	0.1232
0.21302	0.82064	0.83156	0.426	0.44416	0.11392	0.12495
0.215	0.82153	0.83144	0.4248	0.44428	0.1146	0.1237
0.22033	0.82349	0.82998	0.42091	0.44325	0.11431	0.1162
0.22052	0.82354	0.82989	0.42075	0.44317	0.11422	0.11583
0.22284	0.82406	0.82861	0.41886	0.44182	0.11257	0.11106
0.22444	0.82429	0.82747	0.4175	0.44031	0.11048	0.10739
0.22601	0.82442	0.82622	0.41616	0.43777	0.10717	0.10356
0.22834	0.82443	0.82435	0.41417	0.4293	0.09728	0.09756
0.22994	0.82433	0.82313	0.41283	0.42307	0.08491	0.09332
0.23126	0.82417	0.82218	0.41179	0.41975	0.07807	0.08987
0.2314	0.82415	0.82208	0.41169	0.41946	0.07756	0.08952
0.23319	0.82383	0.82083	0.41045	0.41633	0.07258	0.08503
0.23357	0.82375	0.82056	0.41022	0.41577	0.07182	0.08412
0.23712	0.82276	0.81812	0.40859	0.41135	0.06689	0.07628
0.24121	0.82121	0.81518	0.40755	0.40743	0.06342	0.06899
0.24252	0.82066	0.81414	0.40734	0.40635	0.06257	0.06695
0.24348	0.8203	0.81334	0.40721	0.4056	0.062	0.06551
0.24641	0.81925	0.81086	0.40699	0.40351	0.0605	0.06132
0.24783	0.81868	0.80988	0.40697	0.4026	0.05988	0.05947
0.24788	0.81866	0.80984	0.40697	0.40256	0.05986	0.0594
0.25109	0.81734	0.80806	0.40709	0.40074	0.05867	0.05574
0.25257	0.81672	0.80731	0.40724	0.39999	0.05822	0.05431
0.2564	0.8151	0.80528	0.40786	0.39847	0.05738	0.05151
0.25847	0.8142	0.80398	0.40833	0.39794	0.05712	0.05054
0.26062	0.81333	0.80302	0.40891	0.39765	0.05698	0.04997
0.26253	0.8136	0.80298	0.40951	0.39763	0.05698	0.04982
0.26276	0.81363	0.80301	0.40959	0.39765	0.05698	0.04982
0.26358	0.81374	0.80319	0.40988	0.39774	0.05702	0.04987
0.27186	0.81486	0.80667	0.4136	0.4017	0.05858	0.05331
0.27237	0.81496	0.80692	0.41388	0.40214	0.05877	0.05368
0.27339	0.81517	0.80744	0.41446	0.4031	0.05917	0.05449
0.276	0.81585	0.8093	0.41605	0.40601	0.06045	0.05694
0.27826	0.81668	0.81231	0.41752	0.40893	0.06184	0.05949
0.28028	0.81767	0.81603	0.41888	0.41182	0.06335	0.06214
0.28224	0.8189	0.81967	0.42024	0.41482	0.06505	0.06511
0.28466	0.82078	0.82253	0.42189	0.41868	0.06741	0.0693
0.28693	0.82284	0.83633	0.42341	0.42241	0.06986	0.07371
0.28697	0.82288	0.84104	0.42344	0.42248	0.0699	0.07379
0.28718	0.82308	0.96505	0.42358	0.42284	0.07014	0.07423
0.29014	0.82598	0.96963	0.4254	0.42771	0.07357	0.08042
0.29095	0.82679	0.92922	0.42586	0.42902	0.07454	0.08214
0.2953	0.8309	0.68542	0.42787	0.43563	0.07984	0.0908
0.29707	0.83235	0.60499	0.42845	0.43798	0.08199	0.09361
0.29763	0.83275	0.58509	0.4286	0.43866	0.08265	0.09435
0.29799	0.833	0.57381	0.42869	0.43909	0.08308	0.09478
0.299	0.83363	0.54922	0.4289	0.44023	0.08427	0.09578
0.30688	0.83567	0.55086	0.42906	0.4456	0.09224	0.10471
0.30721	0.83569	0.5527	0.42901	0.44567	0.0925	0.10604
0.30765	0.83572	0.55503	0.42895	0.44572	0.09283	0.10807
0.31087	0.8358	0.56942	0.42833	0.44521	0.09478	0.13774
0.31139	0.83579	0.57144	0.4282	0.44494	0.09501	0.14618
0.31666	0.83544	0.58925	0.42664	0.43904	0.09576	0.26754
0.31943	0.83499	0.59786	0.42562	0.43404	0.09489	0.30495
0.32125	0.83457	0.60364	0.42487	0.43071	0.0939	0.3085
0.32172	0.83445	0.60517	0.42467	0.42992	0.0936	0.30745
0.32317	0.83399	0.61009	0.42401	0.42765	0.09255	0.30036
0.32741	0.83206	0.6258	0.42181	0.42169	0.0887	0.25588
0.32938	0.83086	0.63374	0.42062	0.41881	0.08661	0.22627
0.33173	0.82916	0.64373	0.41905	0.41514	0.08397	0.18045
0.33288	0.82824	0.64883	0.41824	0.41325	0.08263	0.14819
0.3336	0.82764	0.65207	0.41772	0.41205	0.0818	0.13024
0.33527	0.82617	0.65992	0.4165	0.40929	0.07986	0.09749
0.33562	0.82586	0.66162	0.41625	0.40873	0.07946	0.09206
0.33866	0.82305	0.68114	0.41415	0.40399	0.0761	0.05763
0.33907	0.82267	0.68452	0.41389	0.4034	0.07567	0.05454
0.34161	0.82034	0.7087	0.41246	0.39998	0.07306	0.04079
0.34339	0.81885	0.73006	0.41168	0.39796	0.07136	0.03518
0.3441	0.81831	0.74131	0.41142	0.39725	0.07071	0.03359
0.34514	0.81763	0.76671	0.41107	0.39632	0.0698	0.03177
0.34602	0.81713	0.72155	0.4108	0.39564	0.06905	0.03065
0.34616	0.81706	0.78435	0.41077	0.39555	0.06894	0.03051
0.34865	0.81606	0.80057	0.41018	0.39437	0.067	0.02909
0.34997	0.81568	0.79689	0.40993	0.39421	0.06608	0.02909
0.35023	0.81561	0.7961	0.40989	0.39422	0.0659	0.02914
0.35079	0.81548	0.79438	0.4098	0.3943	0.06554	0.0293
0.35224	0.81515	0.78962	0.40961	0.39485	0.06465	0.02999
0.35498	0.81466	0.7794	0.40935	0.39711	0.06323	0.03221
0.35521	0.81462	0.77843	0.40933	0.39737	0.06313	0.03244
0.35886	0.8142	0.75717	0.40925	0.40268	0.06186	0.03675
0.36271	0.81404	0.74583	0.41	0.41013	0.06148	0.04236
0.36325	0.81404	0.74693	0.41017	0.41125	0.06153	0.04321
0.36402	0.81406	0.74911	0.41045	0.41288	0.06166	0.04446
0.36758	0.81436	0.7624	0.41198	0.42044	0.06338	0.05052
0.36822	0.81446	0.76481	0.41229	0.42176	0.06391	0.05167
0.37165	0.81514	0.77373	0.41407	0.42842	0.06767	0.05803
0.37253	0.81537	0.77337	0.41454	0.42998	0.06883	0.0597
0.37451	0.81597	0.77171	0.41567	0.43331	0.07169	0.06357
0.37688	0.81684	0.79643	0.41706	0.43683	0.07534	0.06832
0.37711	0.81694	0.80054	0.4172	0.43715	0.0757	0.06878
0.38379	0.81981	0.93035	0.42155	0.44429	0.08568	0.08243
0.38627	0.8205	0.9501	0.42337	0.44597	0.08887	0.08711
0.3878	0.82075	0.94314	0.42458	0.44674	0.09062	0.08975
0.38863	0.82083	0.93194	0.42529	0.44708	0.0915	0.09109
0.38992	0.82089	0.90383	0.42645	0.44751	0.09274	0.09302
0.39322	0.8208	0.76453	0.42975	0.44805	0.09517	0.09704
0.3942	0.82072	0.70491	0.43067	0.44807	0.09566	0.09793
0.39813	0.82019	0.56914	0.43318	0.4476	0.09643	0.09988
