t	u	v	x	y
29.4904	-0.104914	0.10199	0.10199	0.10199
30.0424	-0.07398	0.103402	0.103402	0.103402
30.5944	-0.0529743	0.105343	0.105343	0.105343
31.1765	-0.0503231	0.107655	0.107655	0.107655
31.39	-0.0551288	0.108481	0.108481	0.108481
31.6034	-0.0628263	0.109259	0.109259	0.109259
31.9827	-0.0816772	0.110465	0.110465	0.110465
32.5279	-0.11583	0.111678	0.111678	0.111678
33.073	-0.152488	0.112186	0.112186	0.112186
33.8525	-0.201767	0.111693	0.111693	0.111693
34.632	-0.242273	0.109928	0.109928	0.109928
35.4507	-0.272248	0.107029	0.107029	0.107029
36.3086	-0.288897	0.103266	0.103266	0.103266
37.0929	-0.291255	0.0995647	0.0995647	0.0995647
37.8036	-0.283596	0.0962853	0.0962853	0.0962853
38.5143	-0.267559	0.093311	0.093311	0.093311
39.6246	-0.227894	0.0897496	0.0897496	0.0897496
40.7348	-0.17371	0.0880773	0.0880773	0.0880773
41.8451	-0.110836	0.0887712	0.0887712	0.0887712
42.8668	-0.0596042	0.0915756	0.0915756	0.0915756
43.6503	-0.0458115	0.0946817	0.0946817	0.0946817
44.1236	-0.0552873	0.0965676	0.0965676	0.0965676
44.5969	-0.0759285	0.0981898	0.0981898	0.0981898
45.2753	-0.115762	0.0997767	0.0997767	0.0997767
46.1587	-0.17077	0.100309	0.100309	0.100309
47.0422	-0.218222	0.0991847	0.0991847	0.0991847
47.9256	-0.252684	0.0967468	0.0967468	0.0967468
48.8249	-0.272337	0.0933853	0.0933853	0.0933853
49.74	-0.276338	0.0895748	0.0895748	0.0895748
50.4878	-0.268435	0.0865274	0.0865274	0.0865274
51.2356	-0.251438	0.0838174	0.0838174	0.0838174
52.1865	-0.218191	0.0812214	0.0812214	0.0812214
53.3404	-0.163141	0.0798979	0.0798979	0.0798979
54.4943	-0.0973944	0.0811099	0.0811099	0.0811099
54.8798	-0.0757543	0.08213	0.08213	0.08213
55.2197	-0.058038	0.0832717	0.0832717	0.0832717
55.5597	-0.0434377	0.0846126	0.0846126	0.0846126
56.1014	-0.0314891	0.0870273	0.0870273	0.0870273
56.5296	-0.0355033	0.0889938	0.0889938	0.0889938
56.9578	-0.0508139	0.0908086	0.0908086	0.0908086
57.4402	-0.0769664	0.0924889	0.0924889	0.0924889
57.9768	-0.11108	0.093769	0.093769	0.093769
58.5133	-0.145857	0.0943769	0.0943769	0.0943769
59.3355	-0.194362	0.0940601	0.0940601	0.0940601
60.1578	-0.232562	0.0924491	0.0924491	0.0924491
61.0042	-0.258621	0.0898053	0.0898053	0.0898053
61.8748	-0.270694	0.0864862	0.0864862	0.0864862
62.67	-0.269174	0.0833114	0.0833114	0.0833114
63.3896	-0.258192	0.0806063	0.0806063	0.0806063
64.1092	-0.23894	0.0782944	0.0782944	0.0782944
65.1531	-0.197895	0.0760533	0.0760533	0.0760533
66.197	-0.143533	0.0756134	0.0756134	0.0756134
67.2409	-0.0800621	0.0774061	0.0774061	0.0774061
68.1078	-0.0305754	0.0807025	0.0807025	0.0807025
68.36	-0.0203441	0.0819266	0.0819266	0.0819266
68.5937	-0.0142161	0.08313	0.08313	0.08313
68.8274	-0.012239	0.0843681	0.0843681	0.0843681
69.3206	-0.0226983	0.086928	0.086928	0.086928
69.8091	-0.0480116	0.0891372	0.0891372	0.0891372
70.2929	-0.0801359	0.0908149	0.0908149	0.0908149
70.7767	-0.114242	0.0919098	0.0919098	0.0919098
71.5056	-0.163342	0.0924571	0.0924571	0.0924571
72.2345	-0.20543	0.0917993	0.0917993	0.0917993
73.0202	-0.239998	0.089997	0.089997	0.089997
73.8629	-0.263335	0.0871789	0.0871789	0.0871789
74.7055	-0.272118	0.0838746	0.0838746	0.0838746
75.4583	-0.268354	0.0808633	0.0808633	0.0808633
76.2111	-0.254537	0.0780922	0.0780922	0.0780922
77.1409	-0.224895	0.0753866	0.0753866	0.0753866
78.2479	-0.17344	0.073771	0.073771	0.073771
79.3549	-0.106784	0.0745177	0.0745177	0.0745177
80.0051	-0.0626077	0.076278	0.076278	0.076278
80.0715	-0.0580469	0.0765163	0.0765163	0.0765163
80.138	-0.0534674	0.0767657	0.0767657	0.0767657
80.2044	-0.0488771	0.077026	0.077026	0.077026
80.2918	-0.0429033	0.0773848	0.0773848	0.0773848
80.3791	-0.0369863	0.0777624	0.0777624	0.0777624
80.55	-0.0257282	0.0785542	0.0785542	0.0785542
80.8046	-0.010295	0.0798567	0.0798567	0.0798567
81.0591	0.00218884	0.0812883	0.0812883	0.0812883
81.3264	0.00996099	0.0828913	0.0828913	0.0828913
81.5585	0.0106148	0.0843186	0.0843186	0.0843186
81.7689	0.00594005	0.0855967	0.0855967	0.0855967
81.9577	-0.00194029	0.0866995	0.0866995	0.0866995
82.1465	-0.0124498	0.0877393	0.0877393	0.0877393
82.5473	-0.0400234	0.0896768	0.0896768	0.0896768
82.9481	-0.0708275	0.0911881	0.0911881	0.0911881
83.4334	-0.108586	0.0924156	0.0924156	0.0924156
84.0033	-0.150616	0.0930335	0.0930335	0.0930335
84.5732	-0.18793	0.0928342	0.0928342	0.0928342
85.3608	-0.229559	0.0914233	0.0914233	0.0914233
86.1485	-0.258159	0.089014	0.089014	0.089014
87.0197	-0.274333	0.0856394	0.0856394	0.0856394
87.6722	-0.276004	0.0829171	0.0829171	0.0829171
88.0225	-0.273532	0.081467	0.081467	0.081467
88.3728	-0.268728	0.0800631	0.0800631	0.0800631
89.115	-0.251458	0.0773676	0.0773676	0.0773676
89.8572	-0.225208	0.0752552	0.0752552	0.0752552
90.8331	-0.178134	0.0737502	0.0737502	0.0737502
92.0428	-0.10149	0.0745576	0.0745576	0.0745576
93.0507	-0.0246408	0.0780461	0.0780461	0.0780461
93.2941	-0.00550387	0.0793165	0.0793165	0.0793165
93.5375	0.0127139	0.080751	0.080751	0.080751
93.8008	0.0293251	0.0824701	0.0824701	0.0824701
94.084	0.038871	0.0844577	0.0844577	0.0844577
94.3671	0.0345465	0.0864731	0.0864731	0.0864731
94.5181	0.0269833	0.087511	0.087511	0.087511
94.655	0.0180864	0.0884108	0.0884108	0.0884108
94.8013	0.00717769	0.0893206	0.0893206	0.0893206
94.9571	-0.00541204	0.0902234	0.0902234	0.0902234
95.1129	-0.0185913	0.0910537	0.0910537	0.0910537
95.3973	-0.0433339	0.0923752	0.0923752	0.0923752
95.6816	-0.0682119	0.093442	0.093442	0.093442
96.1162	-0.105223	0.0945867	0.0945867	0.0945867
96.7011	-0.151378	0.0952459	0.0952459	0.0952459
97.2859	-0.191669	0.0949921	0.0949921	0.0949921
98.0661	-0.23454	0.093471	0.093471	0.093471
98.8463	-0.263757	0.0909347	0.0909347	0.0909347
99.7086	-0.280076	0.0874174	0.0874174	0.0874174
100.353	-0.281777	0.0845963	0.0845963	0.0845963
100.696	-0.279189	0.0831032	0.0831032	0.0831032
