t	u	v	x	y
13.2267	-0.0518025	0.150567	-0.167308	-0.0462189
13.4685	-0.0718784	0.160851	-0.173563	-0.0046941
13.7103	-0.0923339	0.163749	-0.169708	0.036936
13.9521	-0.112592	0.15923	-0.156012	0.0762369
14.2011	-0.13165	0.147217	-0.132518	0.111947
14.4501	-0.148751	0.128406	-0.10094	0.140783
14.6991	-0.163176	0.103695	-0.0632039	0.161065
14.948	-0.173889	0.0742766	-0.021604	0.171549
15.1491	-0.179433	0.0480746	0.0130826	0.172316
15.3501	-0.182116	0.0206219	0.0472249	0.1661
15.5512	-0.181512	-0.00714224	0.0794324	0.153105
15.7522	-0.177395	-0.0342004	0.10839	0.133835
15.9532	-0.169689	-0.0594832	0.132914	0.109094
16.2156	-0.154143	-0.0879914	0.156617	0.0703555
16.4779	-0.132618	-0.109202	0.169471	0.0269576
16.6839	-0.112208	-0.119303	0.17139	-0.00835317
16.89	-0.089685	-0.122737	0.166059	-0.0431195
17.096	-0.0662767	-0.119036	0.153742	-0.0759532
17.3021	-0.0438161	-0.108201	0.134972	-0.105583
17.5081	-0.0247123	-0.0908752	0.110525	-0.13087
17.5347	-0.0224963	-0.0882257	0.107007	-0.133763
17.5562	-0.0207112	-0.0860211	0.104108	-0.136035
17.5777	-0.0189984	-0.0837604	0.101161	-0.138246
17.5992	-0.0173568	-0.0814454	0.0981676	-0.140396
17.6207	-0.0157672	-0.0790782	0.0951284	-0.142483
17.6422	-0.014226	-0.0766606	0.092045	-0.144507
17.6914	-0.0108944	-0.0709401	0.0848197	-0.148902
17.7407	-0.00784834	-0.0649847	0.077387	-0.152948
17.7899	-0.00508958	-0.0588147	0.0697638	-0.156635
17.8392	-0.00261432	-0.0524512	0.0619679	-0.159955
17.8983	-7.40845e-06	-0.0445842	0.0524048	-0.163443
17.9575	0.00220406	-0.0365034	0.042652	-0.166374
18.0167	0.00402518	-0.0282435	0.0327426	-0.168736
18.0758	0.00546368	-0.0198389	0.0227106	-0.170518
18.1664	0.00693947	-0.00676244	0.00718784	-0.172104
18.257	0.007562	0.00645991	-0.00841879	-0.172287
18.3476	0.00736333	0.0197118	-0.0239793	-0.171053
18.4381	0.00636871	0.0328822	-0.0393638	-0.168402
18.5287	0.00460279	0.0458643	-0.0544444	-0.164346
18.6964	-0.000576398	0.0690584	-0.0811326	-0.15324
18.7642	-0.0033153	0.0780266	-0.0913417	-0.147454
18.8321	-0.00640168	0.0866978	-0.101134	-0.140965
18.9	-0.00983305	0.0950375	-0.110463	-0.133804
18.9679	-0.0135772	0.103012	-0.119284	-0.126005
19.0357	-0.0176047	0.110591	-0.127556	-0.117606
19.1958	-0.0281151	0.12674	-0.144667	-0.09568
19.3558	-0.0398181	0.14022	-0.158066	-0.0712588
19.5158	-0.0523995	0.150779	-0.167402	-0.0450136
19.6758	-0.0656279	0.158233	-0.17244	-0.0176636
19.8359	-0.0791181	0.162475	-0.17306	0.0100557
20.0373	-0.0961289	0.163204	-0.167591	0.0443549
20.2386	-0.11273	0.158845	-0.155387	0.0767314
20.44	-0.128434	0.149593	-0.136955	0.105934
20.6414	-0.142797	0.135787	-0.11305	0.130858
20.8428	-0.155442	0.117889	-0.0846332	0.150557
21.1218	-0.169521	0.0874053	-0.0399304	0.167806
21.4008	-0.178638	0.0520312	0.0078323	0.172171
21.6798	-0.182069	0.0139982	0.0549541	0.163151
21.9588	-0.179121	-0.0241556	0.0977461	0.141311
