t	u	v	x	y
1.02666	-0.151804	0.106304	0.106304	0.106304
1.1463	-0.126624	0.101564	0.101564	0.101564
1.34996	-0.0832264	0.0969771	0.0969771	0.0969771
1.50123	-0.0514597	0.0964188	0.0964188	0.0964188
1.62288	-0.027326	0.0976751	0.0976751	0.0976751
1.66083	-0.0203318	0.0983627	0.0983627	0.0983627
1.69878	-0.013733	0.099179	0.099179	0.099179
1.73673	-0.00758908	0.100116	0.100116	0.100116
1.77468	-0.00201706	0.101164	0.101164	0.101164
1.81263	0.00285303	0.102311	0.102311	0.102311
1.85113	0.00695619	0.103562	0.103562	0.103562
1.88963	0.0101295	0.104883	0.104883	0.104883
1.92813	0.0123309	0.106256	0.106256	0.106256
1.96663	0.0135863	0.107662	0.107662	0.107662
2.00513	0.0140016	0.109084	0.109084	0.109084
2.04906	0.0136659	0.110707	0.110707	0.110707
2.09298	0.0126956	0.112315	0.112315	0.112315
2.13691	0.0112971	0.113897	0.113897	0.113897
2.18083	0.0096209	0.115445	0.115445	0.115445
2.22475	0.00776334	0.116953	0.116953	0.116953
2.26868	0.00578891	0.11842	0.11842	0.11842
2.31441	0.00365689	0.1199	0.1199	0.1199
2.36013	0.00146874	0.12133	0.12133	0.12133
2.3982	-0.000391296	0.122483	0.122483	0.122483
2.43627	-0.00227719	0.123599	0.123599	0.123599
2.47434	-0.00417984	0.12468	0.12468	0.12468
2.51241	-0.00609857	0.125724	0.125724	0.125724
2.55048	-0.00803389	0.126732	0.126732	0.126732
2.58855	-0.00998125	0.127703	0.127703	0.127703
2.65038	-0.0131641	0.1292	0.1292	0.1292
2.71222	-0.0163692	0.130598	0.130598	0.130598
2.77405	-0.0195929	0.131898	0.131898	0.131898
2.83589	-0.0228306	0.133097	0.133097	0.133097
2.89772	-0.0260786	0.134196	0.134196	0.134196
3.09872	-0.0366735	0.137074	0.137074	0.137074
3.29972	-0.0472573	0.138887	0.138887	0.138887
3.50071	-0.0577545	0.13964	0.13964	0.13964
3.70171	-0.0680964	0.139345	0.139345	0.139345
3.90271	-0.0782193	0.138021	0.138021	0.138021
4.35671	-0.100017	0.131378	0.131378	0.131378
4.81071	-0.119916	0.119991	0.119991	0.119991
5.26471	-0.137482	0.104345	0.104345	0.104345
5.71871	-0.152257	0.0850235	0.0850235	0.0850235
6.17271	-0.163891	0.0626971	0.0626971	0.0626971
6.62671	-0.17181	0.0381431	0.0381431	0.0381431
7.13864	-0.175592	0.00891784	0.00891784	0.00891784
7.65057	-0.173146	-0.0204983	-0.0204983	-0.0204983
8.1625	-0.163683	-0.048408	-0.048408	-0.048408
8.67443	-0.146613	-0.0729359	-0.0729359	-0.0729359
9.09631	-0.126604	-0.0891952	-0.0891952	-0.0891952
9.48645	-0.103381	-0.100001	-0.100001	-0.100001
9.87659	-0.0759139	-0.105859	-0.105859	-0.105859
10.2667	-0.0448803	-0.106006	-0.106006	-0.106006
10.548	-0.0211077	-0.102227	-0.102227	-0.102227
10.6418	-0.0131756	-0.100216	-0.100216	-0.100216
10.7356	-0.00531485	-0.0978342	-0.0978342	-0.0978342
10.7953	-0.00038066	-0.096129	-0.096129	-0.096129
10.8184	0.00150553	-0.0954299	-0.0954299	-0.0954299
10.8415	0.00337535	-0.0947091	-0.0947091	-0.0947091
10.8646	0.00522899	-0.0939668	-0.0939668	-0.0939668
10.8877	0.00706557	-0.0932032	-0.0932032	-0.0932032
10.9575	0.0124999	-0.0907668	-0.0907668	-0.0907668
11.0273	0.0177106	-0.0881448	-0.0881448	-0.0881448
11.0972	0.0226458	-0.0853458	-0.0853458	-0.0853458
