t	u	v	x	y
12.3198	0.99377	-0.0102765	-0.0102765	-0.0102765
12.3252	0.990929	-0.0074574	-0.0074574	-0.0074574
12.3396	0.983084	0.000122067	0.000122067	0.000122067
12.3632	0.969889	0.0123524	0.0123524	0.0123524
12.4244	0.932551	0.043293	0.043293	0.043293
12.5232	0.856928	0.090511	0.090511	0.090511
12.5881	0.780785	0.119096	0.119096	0.119096
12.6153	0.725098	0.130162	0.130162	0.130162
12.6277	0.678911	0.134884	0.134884	0.134884
12.6343	0.633017	0.137251	0.137251	0.137251
12.6382	0.583192	0.138566	0.138566	0.138566
12.6408	0.526298	0.139356	0.139356	0.139356
12.6427	0.452291	0.139898	0.139898	0.139898
12.6442	0.365445	0.140237	0.140237	0.140237
12.6454	0.252456	0.140469	0.140469	0.140469
12.6465	0.124293	0.140602	0.140602	0.140602
12.647	0.0556868	0.14064	0.14064	0.14064
12.6473	0.0146587	0.140653	0.140653	0.140653
12.6474	0.00218686	0.140656	0.140656	0.140656
12.6474	-0.00340749	0.140657	0.140657	0.140657
12.6475	-0.0166457	0.140659	0.140659	0.140659
12.6477	-0.0371981	0.140662	0.140662	0.140662
12.6481	-0.0818718	0.140662	0.140662	0.140662
12.6486	-0.142312	0.140647	0.140647	0.140647
12.6492	-0.188828	0.140618	0.140618	0.140618
12.6505	-0.250345	0.140504	0.140504	0.140504
12.6517	-0.268956	0.140391	0.140391	0.140391
12.6528	-0.275433	0.14027	0.14027	0.14027
12.6542	-0.277705	0.140118	0.140118	0.140118
12.6559	-0.278303	0.139935	0.139935	0.139935
12.6576	-0.277901	0.139752	0.139752	0.139752
12.6598	-0.277565	0.139508	0.139508	0.139508
12.6626	-0.277101	0.139204	0.139204	0.139204
12.6654	-0.276554	0.138901	0.138901	0.138901
12.6812	-0.273567	0.137201	0.137201	0.137201
12.697	-0.270632	0.135524	0.135524	0.135524
12.7569	-0.259378	0.129468	0.129468	0.129468
12.8609	-0.239558	0.119776	0.119776	0.119776
13.141	-0.183443	0.098651	0.098651	0.098651
13.421	-0.123637	0.0855345	0.0855345	0.0855345
13.7268	-0.0546684	0.0810429	0.0810429	0.0810429
13.8679	-0.0225525	0.0825543	0.0825543	0.0825543
13.9783	0.00126886	0.0852886	0.0852886	0.0852886
14.0681	0.0179369	0.0884263	0.0884263	0.0884263
14.1579	0.0288703	0.0921975	0.0921975	0.0921975
14.2443	0.0309184	0.0961066	0.0961066	0.0961066
14.2902	0.0293286	0.0981786	0.0981786	0.0981786
14.3361	0.0272103	0.100206	0.100206	0.100206
14.39	0.0246979	0.102512	0.102512	0.102512
