t	u	v	x	y
1.0487	-0.232001	-0.0478801	-0.0478801	-0.0478801
1.04924	-0.252533	-0.0480024	-0.0480024	-0.0480024
1.04977	-0.265645	-0.0481377	-0.0481377	-0.0481377
1.0503	-0.273839	-0.0482812	-0.0482812	-0.0482812
1.05083	-0.278728	-0.0484299	-0.0484299	-0.0484299
1.05136	-0.281426	-0.0485816	-0.0485816	-0.0485816
1.05189	-0.282824	-0.048735	-0.048735	-0.048735
1.05267	-0.283583	-0.0489593	-0.0489593	-0.0489593
1.05344	-0.283695	-0.049184	-0.049184	-0.049184
1.05421	-0.283552	-0.0494085	-0.0494085	-0.0494085
1.05499	-0.283334	-0.0496328	-0.0496328	-0.0496328
1.05576	-0.283026	-0.0498568	-0.0498568	-0.0498568
1.05874	-0.281226	-0.0507155	-0.0507155	-0.0507155
1.06172	-0.27916	-0.0515658	-0.0515658	-0.0515658
1.0647	-0.277154	-0.0524072	-0.0524072	-0.0524072
1.06768	-0.275193	-0.0532397	-0.0532397	-0.0532397
1.08078	-0.266457	-0.056791	-0.056791	-0.056791
1.09387	-0.257573	-0.0601691	-0.0601691	-0.0601691
1.10696	-0.248517	-0.063371	-0.063371	-0.063371
1.12006	-0.239286	-0.0663933	-0.0663933	-0.0663933
1.17382	-0.199382	-0.0768044	-0.0768044	-0.0768044
1.21838	-0.163115	-0.0828835	-0.0828835	-0.0828835
1.25163	-0.133274	-0.0857755	-0.0857755	-0.0857755
1.27898	-0.10632	-0.0869906	-0.0869906	-0.0869906
1.29821	-0.0854743	-0.0871575	-0.0871575	-0.0871575
1.31368	-0.0671462	-0.0868376	-0.0868376	-0.0868376
1.32521	-0.0522182	-0.0863118	-0.0863118	-0.0863118
1.33464	-0.0389603	-0.0856828	-0.0856828	-0.0856828
1.34175	-0.0281299	-0.0850797	-0.0850797	-0.0850797
1.34722	-0.0191823	-0.0845352	-0.0845352	-0.0845352
1.35149	-0.0117227	-0.0840577	-0.0840577	-0.0840577
1.35476	-0.00567074	-0.0836591	-0.0836591	-0.0836591
1.3571	-0.00111986	-0.0833548	-0.0833548	-0.0833548
1.35897	0.00265952	-0.0831002	-0.0831002	-0.0831002
1.36084	0.00658555	-0.0828348	-0.0828348	-0.0828348
1.36271	0.0106753	-0.0825582	-0.0825582	-0.0825582
1.36458	0.0149495	-0.0822699	-0.0822699	-0.0822699
1.36798	0.0232965	-0.0817125	-0.0817125	-0.0817125
1.37139	0.0325424	-0.0811102	-0.0811102	-0.0811102
1.3748	0.0429887	-0.0804578	-0.0804578	-0.0804578
1.3782	0.0551089	-0.0797479	-0.0797479	-0.0797479
1.38161	0.0697145	-0.0789699	-0.0789699	-0.0789699
1.38501	0.0882448	-0.0781076	-0.0781076	-0.0781076
1.38763	0.106824	-0.0773715	-0.0773715	-0.0773715
1.39025	0.131949	-0.07655	-0.07655	-0.07655
1.39217	0.157167	-0.0758764	-0.0758764	-0.0758764
1.39409	0.192568	-0.0751162	-0.0751162	-0.0751162
1.39549	0.228929	-0.0744854	-0.0744854	-0.0744854
1.39689	0.280308	-0.0737631	-0.0737631	-0.0737631
1.39803	0.339658	-0.0730784	-0.0730784	-0.0730784
1.39918	0.422681	-0.0722724	-0.0722724	-0.0722724
1.40032	0.536355	-0.0712987	-0.0712987	-0.0712987
1.40121	0.643832	-0.0703955	-0.0703955	-0.0703955
1.40138	0.665327	-0.0702108	-0.0702108	-0.0702108
1.40154	0.687077	-0.0700191	-0.0700191	-0.0700191
1.40171	0.708765	-0.0698218	-0.0698218	-0.0698218
1.40203	0.750553	-0.0694119	-0.0694119	-0.0694119
1.40236	0.790059	-0.0689826	-0.0689826	-0.0689826
1.40261	0.817829	-0.0686495	-0.0686495	-0.0686495
1.40285	0.843442	-0.0683068	-0.0683068	-0.0683068
1.4031	0.866683	-0.0679552	-0.0679552	-0.0679552
1.40361	0.907794	-0.0672041	-0.0672041	-0.0672041
1.40412	0.93889	-0.0664272	-0.0664272	-0.0664272
1.40463	0.960857	-0.0656303	-0.0656303	-0.0656303
1.40515	0.975463	-0.0648193	-0.0648193	-0.0648193
1.40581	0.986719	-0.063749	-0.063749	-0.063749
1.40648	0.99264	-0.06267	-0.06267	-0.06267
1.40714	0.995747	-0.0615866	-0.0615866	-0.0615866
1.40781	0.997258	-0.0605012	-0.0605012	-0.0605012
1.40847	0.997678	-0.059415	-0.059415	-0.059415
1.40964	0.99702	-0.0575114	-0.0575114	-0.0575114
1.41081	0.99554	-0.0556096	-0.0556096	-0.0556096
1.41198	0.993879	-0.0537104	-0.0537104	-0.0537104
1.41314	0.992224	-0.0518141	-0.0518141	-0.0518141
