x	y1	y2	y3
2.26	0.0680206	0.0827888	0.106328
2.27	0.063713	0.0774548	0.0993194
2.28	0.0595049	0.0722502	0.092492
2.29	0.0553983	0.0671775	0.0858489
2.3	0.0513954	0.0622395	0.0793937
2.31	0.0474987	0.057439	0.07313
2.32	0.0437106	0.0527792	0.0670618
2.33	0.0400339	0.0482634	0.0611932
2.34	0.0364717	0.0438952	0.055529
2.35	0.0330271	0.0396786	0.0500741
2.36	0.0297037	0.035618	0.044834
2.37	0.0265056	0.031718	0.0398146
2.38	0.023437	0.0279839	0.0350225
2.39	0.0205028	0.0244217	0.0304652
2.4	0.0177086	0.0210379	0.0261508
2.41	0.0150608	0.0178402	0.0220889
2.42	0.0125665	0.0148373	0.0182902
2.43	0.0102346	0.0120394	0.0147675
2.44	0.00807536	0.00945899	0.0115358
2.45	0.00610162	0.00711113	0.00861361
2.46	0.00432989	0.00501522	0.00602447
2.47	0.00278242	0.00319728	0.00379967
2.48	0.00149189	0.00169522	0.00198435
2.49	0.000514041	0.000573012	0.000653609
2.5	0	0	0
