t	u	v	x	y
29.6829	-0.0638528	-0.11737	0.151004	-0.0792883
29.9024	-0.0403464	-0.104828	0.130147	-0.110049
30.0958	-0.022837	-0.0878029	0.106576	-0.132953
30.2892	-0.00912332	-0.0662253	0.0790237	-0.15108
30.4929	0.000759072	-0.0399255	0.0468391	-0.164255
30.6767	0.00568829	-0.0141775	0.0160319	-0.170465
30.791	0.00694204	0.00234732	-0.00352277	-0.171475
30.8867	0.00698454	0.0162667	-0.0198912	-0.170601
31.0163	0.00561334	0.0350006	-0.0417779	-0.16691
31.1629	0.00220782	0.0556662	-0.0657086	-0.159311
31.2925	-0.00232708	0.0731617	-0.0857447	-0.149665
31.4416	-0.00914976	0.0920346	-0.10703	-0.135369
31.6103	-0.0186856	0.111325	-0.12824	-0.115464
31.779	-0.029846	0.12799	-0.145798	-0.0921787
32.2731	-0.0685496	0.158721	-0.172107	-0.0116656
32.7671	-0.109824	0.159323	-0.15724	0.0710862
33.2735	-0.147172	0.129625	-0.103328	0.137725
33.7921	-0.17333	0.0740453	-0.0216584	0.170487
34.1979	-0.18161	0.0201863	0.0473753	0.16497
34.6037	-0.176587	-0.0347883	0.10858	0.132337
35.0094	-0.157265	-0.0823616	0.15189	0.0779446
35.4353	-0.12168	-0.114745	0.170474	0.00776058
35.8612	-0.0754327	-0.120633	0.158547	-0.0631523
36.2871	-0.0305612	-0.0966374	0.118431	-0.122682
36.5524	-0.0102759	-0.0687362	0.0821405	-0.149542
36.6569	-0.00440805	-0.0557526	0.0660756	-0.15743
36.7615	0.000255738	-0.0419472	0.0492744	-0.163651
36.858	0.00346287	-0.0286494	0.0332802	-0.167842
36.9544	0.00566113	-0.0149625	0.0169575	-0.170499
37.194	0.00691448	0.0198215	-0.0240639	-0.170269
37.4337	0.00264081	0.054052	-0.0638584	-0.160211
37.6733	-0.00656087	0.0858385	-0.100103	-0.140753
37.9475	-0.0220745	0.117127	-0.13448	-0.108369
38.2217	-0.0415923	0.141161	-0.158767	-0.0676649
38.4958	-0.0637392	0.156596	-0.171124	-0.0219324
38.5793	-0.0705158	0.159463	-0.172356	-0.00755513
38.6527	-0.0767373	0.161265	-0.172446	0.00509885
38.726	-0.082941	0.162384	-0.171609	0.0177041
38.8744	-0.0954379	0.162562	-0.167115	0.0427715
39.0228	-0.10769	0.159983	-0.158971	0.0668224
39.2854	-0.12827	0.148912	-0.136244	0.105381
39.6622	-0.153639	0.119858	-0.08805	0.147576
40.0391	-0.171949	0.0783345	-0.02764	0.169335
